---- Log cleared: Thu Nov 07 2019 10:30:43 GMT+0800 (中国标准时间) ----
596.81 0.09 0,32,62,15,2,43,31,38,8,30,54,24,49,17,23,48,22,55,42,40,41,63,5,50,16,39,11,71,57,9,37,64,65,10,58,13,52,34,6,25,66,75,74,3,67,29,1,72,61,27,73,20,46,47,28,44,26,51,33,45,7,18,53,12,56,14,4,36,19,69,59,70,35,68,60,21,21,47
592.15 2.55 0,72,32,5,50,16,39,11,30,54,24,49,17,23,48,22,55,63,41,40,42,1,29,3,67,74,75,66,25,6,34,52,13,58,10,65,64,37,9,57,71,38,8,31,43,2,15,62,21,60,68,35,70,59,69,19,36,4,14,56,12,53,18,7,45,33,51,26,44,28,47,46,20,73,27,61,20,47
583.06 10.11 0,72,1,29,3,67,74,75,66,25,6,34,52,13,58,10,65,64,37,9,57,11,39,16,50,5,32,21,60,68,35,70,59,69,19,36,4,14,56,12,53,18,7,45,33,51,26,44,28,47,46,20,73,27,61,42,41,63,40,55,22,48,23,17,49,24,54,30,71,38,8,31,43,2,15,62,26,54
589.77 4.59 0,72,1,29,3,67,74,75,66,25,6,34,52,13,58,10,65,64,37,9,57,71,38,8,31,43,2,15,62,21,60,68,35,70,59,69,19,36,4,14,56,12,53,18,7,45,33,51,26,44,28,47,46,20,73,27,61,32,5,50,16,39,11,30,54,24,49,17,23,48,22,55,63,41,40,42,28,56
594.32 0.83 0,61,27,73,20,46,47,28,44,26,51,33,45,7,18,53,12,56,14,4,36,19,69,59,70,35,68,60,62,15,2,43,31,8,38,71,30,54,24,49,17,23,48,22,55,42,40,41,63,21,72,32,5,50,16,39,11,57,9,37,64,10,65,58,13,52,34,6,25,66,75,74,67,3,29,1,27,49
574.42 309.18 0,61,27,73,20,46,47,4,28,44,26,51,33,45,7,34,6,25,66,75,74,3,29,1,67,5,50,16,39,11,57,71,38,8,31,43,2,15,62,32,72,42,40,41,63,21,60,68,35,70,59,69,19,36,14,56,12,53,18,58,13,52,10,65,64,37,9,30,54,24,49,17,23,48,22,55,39,40
592.15 2.55 0,61,27,73,20,46,47,28,44,26,51,33,45,7,18,53,12,56,14,4,36,19,69,59,70,35,68,60,21,42,40,41,63,55,22,48,23,17,49,24,54,30,11,39,16,50,5,32,72,62,15,2,43,31,8,38,71,57,9,37,64,65,10,58,13,52,34,6,25,66,75,74,67,3,29,1,28,48
591.04 3.32 0,72,1,29,3,67,74,75,66,25,6,34,52,13,58,10,65,64,37,9,57,71,38,8,31,43,2,15,62,21,60,68,35,70,59,69,19,36,4,14,56,12,53,18,7,45,33,51,26,44,28,47,46,20,73,27,61,42,40,41,63,55,22,48,23,17,49,24,54,30,39,11,16,50,5,32,28,56
591.04 3.32 0,32,5,50,16,11,39,30,54,24,49,17,23,48,22,55,63,41,40,42,62,15,2,43,31,8,38,71,57,9,37,64,65,10,58,13,52,34,6,25,66,75,74,67,3,29,1,72,61,27,73,20,46,47,28,44,26,51,33,45,7,18,53,12,56,14,4,36,19,69,59,70,35,68,60,21,19,47
591.2 3.19 0,72,1,29,3,67,74,75,66,25,6,34,52,13,58,65,10,64,37,9,57,71,38,8,31,43,2,15,62,63,41,40,42,55,22,48,23,17,49,24,54,30,11,39,16,50,5,32,61,27,73,20,46,47,28,44,26,51,33,45,7,18,53,12,56,14,4,36,19,69,59,70,35,68,60,21,28,47
